20002 70000
20001 1 0
1 19535 -3903
1 13727 -6169
1 12799 -3565
1 12156 -7495
1 11774 -2861
1 15794 -2306
20001 2 0
2 14166 -4391
2 14920 -1527
2 15542 -965
20001 3 0
3 17509 -794
3 11700 -4797
3 13241 -9273
3 17812 -4563
3 18365 -5948
20001 4 0
4 17551 -702
4 14423 -9110
4 18821 -386
4 11448 -2860
4 17825 -60
4 14047 -507
20001 5 0
5 18736 -5178
5 16062 -828
5 16042 -2292
20001 6 0
6 12003 -6766
6 15499 -6451
6 11809 -4975
6 12806 -2717
6 19144 -8558
6 11136 -879
6 11414 -6868
6 19433 -2675
6 16391 -5147
6 10169 -2361
20001 7 0
7 12469 -7853
7 11803 -1536
7 12475 -6683
7 18258 -9384
20001 8 0
8 10698 -5531
8 13072 -746
8 16689 -7411
8 11348 -7782
8 18990 -5739
8 13469 -6798
8 10902 -6951
8 14690 -3594
20001 9 0
9 15507 -3724
9 11253 -4449
9 10644 -9979
20001 10 0
10 12064 -3461
10 19859 -409
10 14893 -5607
10 10254 -9857
10 11734 -3757
20001 11 0
11 10143 -173
11 12881 -8407
11 14781 -2323
11 16313 -2285
11 10855 -1065
11 11364 -7041
11 13891 -6805
20001 12 0
12 12290 -1885
12 14022 -9134
12 13264 -8563
12 19522 -8767
12 12182 -5584
20001 13 0
13 17546 -9687
13 10640 -5043
13 16667 -1541
13 15101 -4618
13 13262 -4769
13 16378 -7853
13 12658 -9506
20001 14 0
14 11365 -4419
14 12066 -2272
14 14455 -5674
14 14737 -7338
14 10304 -5785
14 16903 -7423
14 18928 -3412
20001 15 0
15 12892 -9059
15 14186 -6356
15 10873 -8206
15 16873 -9070
20001 16 0
16 17712 -1671
16 15207 -4485
16 16819 -5078
16 12343 -8690
20001 17 0
17 12542 -5563
17 10566 -1935
17 11530 -8866
20001 18 0
18 13484 -6420
18 14019 -5183
18 16760 -6104
18 14731 -9417
18 13789 -6336
18 10879 -6213
18 13047 -9870
18 18941 -5702
18 12406 -5090
20001 19 0
19 13944 -2235
19 10406 -187
19 17993 -3019
19 17514 -1444
19 11727 -1816
20001 20 0
20 14508 -6580
20 16138 -9682
20 19176 -976
20001 21 0
21 10783 -6785
21 11145 -9770
21 16178 -4934
21 15789 -9291
21 15882 -7357
21 19779 -6543
21 16793 -701
21 18772 -6882
21 18676 -6216
21 11549 -5491
20001 22 0
22 17260 -7149
22 18320 -7906
22 12650 -2440
22 20000 -6533
22 16737 -6146
20001 23 0
23 18215 -4449
23 17324 -3018
23 14529 -8302
20001 24 0
24 16910 -4369
24 14789 -532
24 18138 -1622
24 15211 -9884
24 15595 -6436
24 17687 -1356
24 11742 -5663
24 18891 -9107
20001 25 0
25 15343 -6419
25 10050 -1773
20001 26 0
26 14409 -3473
26 14653 -785
26 16934 -8974
26 19642 -209
26 18004 -5914
26 12447 -413
20001 27 0
27 10073 -9996
27 16898 -4250
20001 28 0
28 17834 -2598
28 13172 -7111
20001 29 0
29 11934 -1382
29 16628 -2279
29 17135 -9356
29 13558 -2817
20001 30 0
30 11416 -5074
30 11293 -9331
30 15190 -1159
30 17514 -5587
20001 31 0
31 14066 -5235
31 19324 -528
31 17813 -1902
31 19824 -5643
31 19719 -643
31 17448 -2600
31 12696 -9042
31 13705 -9590
20001 32 0
32 11171 -293
32 11496 -722
32 12112 -2106
32 16563 -6892
32 14091 -5900
32 15042 -6850
32 12964 -5568
20001 33 0
33 15397 -4664
33 12239 -6424
33 15044 -893
33 16077 -2908
33 10248 -6613
33 17523 -7162
33 11748 -5603
20001 34 0
